edge 475 has vertices 171 , 180
edge 476 has vertices 180 , 172
edge 477 has vertices 180 , 173
edge 478 has vertices 180 , 174
edge 479 has vertices 181 , 177
edge 480 has vertices 181 , 180
edge 481 has vertices 181 , 174
edge 482 has vertices 175 , 182
edge 483 has vertices 182 , 178
edge 484 has vertices 183 , 176
edge 485 has vertices 183 , 179
edge 486 has vertices 182 , 184
edge 487 has vertices 184 , 181
edge 488 has vertices 184 , 177
edge 489 has vertices 178 , 184
edge 490 has vertices 185 , 184
edge 491 has vertices 185 , 181
edge 492 has vertices 183 , 186
edge 493 has vertices 185 , 186
edge 494 has vertices 186 , 179
edge 495 has vertices 186 , 180
edge 496 has vertices 181 , 186
edge 497 has vertices 182 , 187
edge 498 has vertices 187 , 184
edge 499 has vertices 188 , 183
edge 500 has vertices 188 , 186
edge 501 has vertices 187 , 189
edge 502 has vertices 189 , 185
edge 503 has vertices 184 , 189
edge 504 has vertices 188 , 190
edge 505 has vertices 189 , 190
edge 506 has vertices 185 , 190
edge 507 has vertices 190 , 186
edge 508 has vertices 187 , 191
edge 509 has vertices 191 , 189
edge 510 has vertices 192 , 188
edge 511 has vertices 192 , 190
edge 512 has vertices 192 , 193
edge 513 has vertices 191 , 193
edge 514 has vertices 193 , 189
edge 515 has vertices 193 , 190
edge 516 has vertices 191 , 194
edge 517 has vertices 194 , 192
edge 518 has vertices 194 , 193
