-5.288167126415999e-11 + 0.0im
-7.124729972662891e-11 + 0.0im
-5.1916471122126495e-11 + 0.0im
-4.6526060781815204e-11 + 0.0im
-1.1145190326189436e-10 + 0.0im
-9.653750021598739e-11 + 0.0im
-4.040795476001335e-12 + 0.0im
-1.108817204720225e-10 + 0.0im
-3.4911032398277086e-12 + 0.0im
8.81138217945221e-12 + 0.0im
1.3552284294782169e-12 + 0.0im
-3.532292514041302e-12 + 0.0im
8.993285283143138e-12 + 0.0im
3.369308304579377e-12 + 0.0im
5.472677866436015e-12 + 0.0im
1.0834638741741287e-11 + 0.0im
5.1283838287119465e-12 + 0.0im
6.077603698084744e-12 + 0.0im
6.838682398147e-12 + 0.0im
2.456146397378234e-12 + 0.0im
-2.8999656842554344e-11 + 0.0im
-1.178415143243683e-10 + 0.0im
-5.81389172915614e-11 + 0.0im
-2.7237670452429086e-11 + 0.0im
6.728645418618839e-14 + 0.0im
-1.0291767438275201e-13 + 0.0im
-2.3203661214665772e-14 + 0.0im
8.62990234828942e-14 + 0.0im
1.0755146773178126e-12 + 0.0im
-1.8761103781628208e-12 + 0.0im
-1.3975071100347236e-12 + 0.0im
1.4437340212225536e-12 + 0.0im
3.9807185325813066e-12 + 0.0im
-7.416733893705896e-12 + 0.0im
8.279626984020183e-12 + 0.0im
3.318661317974758e-12 + 0.0im
7.754213937616328e-13 + 0.0im
6.383948925048344e-12 + 0.0im
5.599090635577397e-12 + 0.0im
7.523148770616217e-13 + 0.0im
1.1467327087899548e-11 + 0.0im
8.481548796623883e-11 + 0.0im
3.1130612410806835e-11 + 0.0im
1.1092973761783753e-11 + 0.0im
-9.281506119229732e-12 + 0.0im
-1.7140788788339023e-11 + 0.0im
-3.4366749029901555e-11 + 0.0im
-6.437739230591433e-12 + 0.0im
-3.419486915845482e-14 + 0.0im
1.5418222254481861e-13 + 0.0im
-1.6028844918025698e-13 + 0.0im
-3.354261313148754e-14 + 0.0im
-6.646766470552734e-13 + 0.0im
6.654121698090876e-13 + 0.0im
-1.4389574601314514e-13 + 0.0im
-8.128220319036927e-13 + 0.0im
4.944605835888183e-11 + 0.0im
1.6617449083433655e-10 + 0.0im
6.60438648214523e-11 + 0.0im
4.754727167544104e-11 + 0.0im
1.315197950546576e-13 + 0.0im
-3.186340080674199e-14 + 0.0im
5.115630141716565e-13 + 0.0im
1.5198953207118393e-13 + 0.0im
-1.5161483180037294e-13 + 0.0im
2.409461519192746e-13 + 0.0im
-1.431355034497983e-13 + 0.0im
-1.6663059820842818e-13 + 0.0im
5.004746617132128e-13 + 0.0im
-5.931088953303743e-13 + 0.0im
2.0237977960135822e-13 + 0.0im
5.681566328519239e-13 + 0.0im
2.6683516507475247e-11 + 0.0im
-3.3909826335776216e-11 + 0.0im
1.9256554684154992e-11 + 0.0im
2.4019841671218956e-11 + 0.0im
6.344744174491268e-11 + 0.0im
-3.0856622812436285e-11 + 0.0im
5.832276328554542e-11 + 0.0im
5.935285596336826e-11 + 0.0im
-4.327777025636692e-11 + 0.0im
-1.4884329879727431e-10 + 0.0im
-2.1136439820601538e-11 + 0.0im
-3.973367468379507e-11 + 0.0im
3.661797254306265e-11 + 0.0im
9.824691060700275e-11 + 0.0im
5.494688037899209e-12 + 0.0im
3.6840752670741495e-11 + 0.0im
9.500344955171158e-12 + 0.0im
-1.76723670419765e-11 + 0.0im
